"usd_cleaning_fee","f_property_type","f_room_type","f_room_type2","f_cancellation_policy","f_bed_type","f_neighbourhood_cleansed","usd_price_day","p_host_response_rate","n_accommodates","n_bathrooms","n_review_scores_rating","n_number_of_reviews","n_guests_included","n_reviews_per_month","n_extra_people","n_minimum_nights","n_beds","n_days_since","d_24hourcheckin","d_airconditioning","d_breakfast","d_buzzerwirelessintercom","d_cabletv","d_carbonmonoxidedetector","d_cats","d_dogs","d_doorman","d_doormanentry","d_dryer","d_elevatorinbuilding","d_essentials","d_familykidfriendly","d_fireextinguisher","d_firstaidkit","d_freeparkingonpremises","d_freeparkingonstreet","d_gym","d_hairdryer","d_hangers","d_heating","d_hottub","d_indoorfireplace","d_internet","d_iron","d_keypad","d_kitchen","d_laptopfriendlyworkspace","d_lockonbedroomdoor","d_lockbox","d_otherpets","d_paidparkingoffpremises","d_petsallowed","d_petsliveonthisproperty","d_pool","d_privateentrance","d_privatelivingroom","d_safetycard","d_selfcheckin","d_shampoo","d_smartlock","d_smokedetector","d_smokingallowed","d_suitableforevents","d_tv","d_washer","d_washerdryer","d_wheelchairaccessible","d_wirelessinternet","price","neighbourhood_cleansed","cancellation_policy","room_type","property_type","ln_price","n_accommodates2","ln_accommodates","ln_accommodates2","ln_beds","f_bathroom","ln_number_of_reviews","f_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","n_days_since2","n_days_since3","ln_review_scores_rating","f_minimum_nights"
NA,"Apartment","Private room","Private","strict","Real Bed","Hackney",45,80,2,1,96,15,1,1.67,0,2,1,269,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,45,"Hackney","strict","Private room","Apartment",3.80666248977032,4,0.693147180559945,0.480453013918201,0,1,2.77258872223978,1,5.59471137960184,31.3007954210463,175.118916332717,72361,19465109,4.56434819146784,2
54,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",95,100,2,1,80,1,1,1,0,2,1,21,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,95,"Hackney","strict","Entire home/apt","Apartment",4.55387689160054,4,0.693147180559945,0.480453013918201,0,1,0.693147180559945,1,3.04452243772342,9.26911687380137,28.2200343001691,441,9261,4.38202663467388,2
NA,"House","Private room","Private","flexible","Real Bed","Hackney",50,0,2,2,100,1,1,0.06,0,2,1,529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,50,"Hackney","flexible","Private room","House",3.91202300542815,4,0.693147180559945,0.480453013918201,0,2,0.693147180559945,1,6.2709884318583,39.3252959125006,246.608475746696,279841,148035889,4.60517018598809,2
15,"House","Private room","Private","moderate","Real Bed","Hackney",26,NA,2,1,90,5,1,0.28,5,2,1,536,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,26,"Hackney","moderate","Private room","House",3.25809653802148,4,0.693147180559945,0.480453013918201,0,1,1.79175946922805,1,6.2841341610708,39.490342154337,248.162608164444,287296,153990656,4.49980967033027,2
30,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",105,81,3,1,91,59,1,2.9,0,2,1,609,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,105,"Hackney","moderate","Entire home/apt","Apartment",4.65396035015752,9,1.09861228866811,1.20694896081258,0,1,4.0943445622221,2,6.4118182677099,41.1114134981383,263.598912078739,370881,225866529,4.51085950651685,2
NA,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",85,90,2,1,100,3,1,1.25,0,1,1,70,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,85,"Hackney","moderate","Entire home/apt","Apartment",4.44265125649032,4,0.693147180559945,0.480453013918201,0,1,1.38629436111989,1,4.24849524204936,18.049711821716,76.6841147949227,4900,343000,4.60517018598809,1
45,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",75,100,4,1,95,13,2,1.92,20,2,2,202,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,75,"Hackney","strict","Entire home/apt","Apartment",4.31748811353631,16,1.38629436111989,1.92181205567281,0.693147180559945,1,2.63905732961526,1,5.30826769740121,28.1777059472731,149.57480626678,40804,8242408,4.55387689160054,2
NA,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",70,100,4,1,95,22,4,1.43,0,2,2,459,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,70,"Hackney","moderate","Entire home/apt","Apartment",4.24849524204936,16,1.38629436111989,1.92181205567281,0.693147180559945,1,3.13549421592915,1,6.12905021006055,37.5652564774432,230.239343104052,210681,96702579,4.55387689160054,2
NA,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",100,NA,2,1,100,1,2,0.05,20,5,1,599,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,100,"Hackney","moderate","Entire home/apt","Apartment",4.60517018598809,4,0.693147180559945,0.480453013918201,0,1,0.693147180559945,1,6.39526159811545,40.8993709083302,261.562176157124,358801,214921799,4.60517018598809,3
5,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",75,100,2,1,97,19,1,1.66,0,2,1,342,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,75,"Hackney","moderate","Entire home/apt","Apartment",4.31748811353631,4,0.693147180559945,0.480453013918201,0,1,2.99573227355399,1,5.8348107370626,34.0450163373411,198.646226868589,116964,40001688,4.57471097850338,2
